episode,job_count,machine_count,selection_count,best_source,candidate_count,loss,score_json,hard_violation_count,makespan,bay_internal_cut_length_gap,bay_internal_wo_count_gap,bay_internal_bevel_quantity_gap,bay_internal_occupancy_gap,raw_hard_violation_count,raw_makespan,raw_bay_internal_cut_length_gap,raw_bay_internal_wo_count_gap,raw_bay_internal_bevel_quantity_gap,raw_bay_internal_occupancy_gap,normalized_bay_internal_cut_length_gap,normalized_bay_internal_wo_count_gap,normalized_bay_internal_bevel_quantity_gap,normalized_bay_internal_occupancy_gap
14527,65,15,65,22:agent_greedy|23:best_fit_lth|24:agent_sample_15|25:agent_greedy|trans:lpt_batch,340,0.70738197,"[0, 108.172729, 483.149655342, 11.0, 19.0, 115.699864]",0,108.172729,483.149655342,11.0,19.0,115.699864,0,108.172729,483.149655342,11.0,19.0,115.699864,2.393024648,1.758730159,6.636363636,2.356142926
14528,234,15,234,22:agent_sample_3|23:agent_sample_23|24:agent_sample_11|25:agent_sample_51|trans:agent_sample_19,340,0.339222619,"[0, 291.033699, 531.602562952, 22.0, 45.0, 51.333647]",0,291.033699,531.602562952,22.0,45.0,51.333647,0,291.033699,531.602562952,22.0,45.0,51.333647,0.658919383,2.007978978,6.38979798,0.322530788
14529,110,15,110,22:agent_sample_37|23:agent_sample_18|24:agent_sample_50|25:agent_sample_5|trans:agent_sample_6,340,0.4157157,"[0, 141.22021, 458.025935106, 17.0, 34.0, 28.03666]",0,141.22021,458.025935106,17.0,34.0,28.03666,0,141.22021,458.025935106,17.0,34.0,28.03666,1.461792993,3.307103967,7.793650793,0.416308621
14530,114,15,114,22:agent_sample_38|23:agent_sample_12|24:agent_sample_12|25:agent_sample_10|trans:agent_greedy,340,0.363749167,"[0, 175.946868, 240.895349538, 5.0, 30.0, 53.175728]",0,175.946868,240.895349538,5.0,30.0,53.175728,0,175.946868,240.895349538,5.0,30.0,53.175728,0.915087219,0.993325309,6.41695845,0.758726205
14531,55,15,55,22:agent_sample_11|23:best_fit_lth|24:agent_sample_10|25:agent_sample_57|trans:agent_sample_33,340,0.730343074,"[0, 91.970389, 263.751311135, 7.0, 28.0, 39.504174]",0,91.970389,263.751311135,7.0,28.0,39.504174,0,91.970389,263.751311135,7.0,28.0,39.504174,2.01899777,1.538888888,10.974789916,0.786240698
14532,145,15,145,22:agent_sample_16|23:agent_greedy|24:agent_sample_30|25:agent_sample_34|trans:agent_sample_7,340,0.337319767,"[0, 168.70603, 592.854167185, 15.0, 45.0, 61.563515]",0,168.70603,592.854167185,15.0,45.0,61.563515,0,168.70603,592.854167185,15.0,45.0,61.563515,1.57707781,2.151282051,6.34371615,0.734245795
14533,101,15,101,22:agent_sample_6|23:agent_greedy|24:agent_sample_33|25:lpt_batch|trans:agent_greedy,340,0.438755748,"[0, 137.149665, 497.9006818, 6.0, 35.0, 166.750171]",0,137.149665,497.9006818,6.0,35.0,166.750171,0,137.149665,497.9006818,6.0,35.0,166.750171,1.608528523,1.053591759,8.676767677,2.090086233
14534,257,15,257,22:agent_sample_33|23:lpt_batch|24:agent_sample_51|25:lpt_batch|trans:agent_sample_19,340,0.50286116,"[0, 361.276818, 484.120728979, 24.0, 38.0, 66.664865]",0,361.276818,484.120728979,24.0,38.0,66.664865,0,361.276818,484.120728979,24.0,38.0,66.664865,0.763350869,2.296601547,4.172287699,0.467919292
14535,156,15,156,22:agent_greedy|23:agent_sample_13|24:agent_sample_18|25:agent_sample_62|trans:agent_sample_2,340,0.306602761,"[0, 226.25545, 200.158152601, 14.0, 29.0, 25.953193]",0,226.25545,200.158152601,14.0,29.0,25.953193,0,226.25545,200.158152601,14.0,29.0,25.953193,0.643350831,1.997647059,6.005050506,0.387234052
14536,121,15,121,22:long_bevel_batch|23:agent_sample_6|24:agent_sample_11|25:agent_sample_11|trans:agent_sample_47,340,1.367092922,"[0, 158.28207, 222.744627811, 13.0, 25.0, 114.158794]",0,158.28207,222.744627811,13.0,25.0,114.158794,0,158.28207,222.744627811,13.0,25.0,114.158794,0.920220555,2.320288614,8.142081448,1.372228024
